HHID,province,district_real,altitude_m,farm_size_ha,soil_ph,nitrogen,phosphorus,potassium,soc,annual_rainfall_mm,avg_temperature_C,avg_humidity_pct,used_improved_seed,used_inorganic_fert,used_organic_fert,used_pesticide,used_irrigation,soil_measures_count,num_crops_grown,grew_maize,grew_beans,grew_cassava,grew_rice,grew_irish_potato,grew_tomato,grew_sweet_potato,grew_banana,yield_maize_t_ha,yield_beans_t_ha,yield_cassava_t_ha,yield_rice_t_ha,yield_irish_potato_t_ha,yield_tomato_t_ha,yield_sweet_potato_t_ha,yield_banana_t_ha,recommended_crop,recommended_confidence,weight
HHD116311,Kigali,Nyarugenge,1400,1.35,6.71,0.314,0.031,0.02,3.48,955.5,24.43,82.9,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,,1.9,,,,,,,beans,1.0,1.26
HHD116312,Southern,Huye,1605,0.17,6.22,0.334,0.097,0.054,1.98,1137.2,23.24,66.0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,,,,,9.97,,,,irish_potato,1.0,6.445
HHD116313,Southern,Ruhango,1615,0.17,6.4,0.648,0.203,0.31,1.94,629.7,21.0,72.1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,,,,3.21,,,,,rice,1.0,0.359
HHD116314,Southern,Nyaruguru,1632,0.93,6.49,0.406,0.168,0.5,3.58,813.8,19.03,71.6,0,1,0,0,0,0,3,0,1,0,1,0,1,0,0,,1.94,,6.61,,28.57,,,tomato,0.77,2.717
HHD116315,Western,Rubavu,1311,0.37,5.96,0.256,0.231,0.247,1.55,1064.2,26.57,90.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,1.81,,,,,,,beans,1.0,0.751
HHD116316,Eastern,Bugesera,1161,1.24,5.33,0.329,0.193,0.572,2.61,416.1,21.56,52.8,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,,,,9.48,,,11.78,,sweet_potato,0.554,1.552
HHD116317,Eastern,Rwamagana,1212,1.72,5.89,0.318,0.095,0.344,2.75,908.1,20.68,82.1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,22.36,banana,1.0,1.578
HHD116318,Southern,Gisagara,1577,0.99,6.0,0.332,0.152,0.161,1.32,840.7,21.47,84.5,0,1,1,0,0,0,3,0,1,0,1,0,1,0,0,,1.88,,9.78,,22.84,,,tomato,0.662,4.123
HHD116319,Eastern,Nyagatare,1250,2.08,6.22,0.464,0.072,0.572,2.55,1109.1,18.86,72.5,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,,,,,16.14,,,36.31,banana,0.692,1.174
HHD116320,Kigali,Nyarugenge,1416,1.1,6.03,0.412,0.283,0.172,3.28,1387.5,17.68,84.6,0,0,0,0,0,2,3,0,0,0,1,1,1,0,0,,,,5.96,15.53,18.16,,,tomato,0.458,2.759
HHD116321,Northern,Gakenke,1821,1.37,4.65,0.449,0.057,0.284,1.78,494.9,21.94,77.7,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,,1.36,,5.71,,,,,rice,0.808,2.22
HHD116322,Southern,Gisagara,1546,2.2,6.27,0.677,0.103,0.533,2.16,839.9,20.26,73.4,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,8.38,,,,,,23.42,,sweet_potato,0.736,4.52
HHD116323,Southern,Huye,1637,2.69,6.07,0.179,0.008,0.02,0.81,716.9,21.12,65.9,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,3.81,,,6.6,,21.88,,,tomato,0.678,1.802
HHD116324,Southern,Gisagara,1473,1.62,6.5,0.49,0.135,0.366,3.68,1085.9,27.26,72.9,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,,,,8.95,,,,,rice,1.0,2.824
HHD116325,Western,Rusizi,1426,0.39,5.53,0.024,0.228,0.279,4.39,1053.7,23.29,78.9,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4.61,,,,,,,,maize,1.0,1.477
HHD116326,Western,Nyamasheke,1360,0.75,6.64,0.064,0.147,0.459,2.74,1048.4,18.67,82.4,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,,,,,,23.67,9.47,,tomato,0.714,0.842
HHD116327,Southern,Gisagara,1493,0.4,7.55,0.3,0.077,0.528,1.06,792.0,21.36,66.8,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3.77,1.01,,,,,,,maize,0.789,2.256
HHD116328,Eastern,Nyagatare,1317,0.4,5.81,0.411,0.088,0.386,3.0,915.9,23.73,63.2,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,,,,,,,,26.15,banana,1.0,2.952
HHD116329,Southern,Nyaruguru,1683,2.73,6.7,0.709,0.125,0.223,3.54,668.9,15.88,74.1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,7.63,,,,,,,,maize,1.0,1.071
HHD116330,Northern,Burera,1784,0.97,6.95,0.206,0.128,0.02,2.45,954.8,24.78,75.7,1,1,0,0,1,0,2,0,0,1,0,1,0,0,1,,,21.23,,28.91,,,32.5,banana,0.393,3.155
HHD116331,Kigali,Nyarugenge,1498,0.58,6.36,0.16,0.066,0.02,1.91,1032.0,19.22,84.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,13.82,banana,1.0,1.302
HHD116332,Northern,Burera,1693,1.8,7.21,0.224,0.08,0.549,1.41,800.1,22.55,83.8,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5.22,,,,,,,,maize,1.0,3.06
HHD116333,Eastern,Bugesera,1259,0.53,4.81,0.568,0.225,0.25,0.73,804.5,24.01,68.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,10.7,,,,,,cassava,1.0,0.878
HHD116334,Kigali,Nyarugenge,1474,0.64,6.27,0.4,0.108,0.606,1.88,888.8,21.45,76.6,0,0,0,1,0,1,3,0,0,1,0,0,1,0,1,,,12.48,,,19.53,,21.67,banana,0.404,0.824
HHD116335,Eastern,Nyagatare,1304,0.66,6.49,0.328,0.063,0.186,3.49,850.9,19.28,69.5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,,,,4.42,,,,,rice,1.0,3.219
HHD116336,Kigali,Kicukiro,1478,1.39,6.08,0.264,0.154,0.237,4.11,641.5,19.1,72.3,1,1,0,0,0,1,3,0,1,0,1,1,0,0,0,,1.92,,9.03,24.69,,,,irish_potato,0.693,2.594
HHD116337,Eastern,Nyagatare,1338,1.43,6.55,0.528,0.005,0.378,1.95,853.0,19.8,71.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,27.62,banana,1.0,1.096
HHD116338,Western,Rusizi,1372,2.85,6.2,0.302,0.257,0.678,3.63,973.0,23.77,90.9,1,0,0,0,0,2,3,1,0,1,0,1,0,0,0,8.67,,22.65,,32.71,,,,irish_potato,0.511,2.74
HHD116339,Northern,Gakenke,1932,0.18,6.19,0.412,0.137,0.02,1.97,1337.4,26.87,78.3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,3.47,,,,,,,,maize,1.0,1.415
HHD116340,Eastern,Gatsibo,1095,0.85,5.26,0.196,0.197,0.265,3.15,985.8,20.71,79.4,0,1,0,0,0,1,3,0,1,0,0,1,1,0,0,,2.26,,,13.08,26.13,,,tomato,0.63,3.399
HHD116341,Kigali,Kicukiro,1408,0.76,6.17,0.313,0.19,0.02,3.27,895.4,21.32,65.4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,,,,,,,7.46,,sweet_potato,1.0,0.666
HHD116342,Southern,Gisagara,1606,2.37,6.49,0.302,0.005,0.02,2.81,1139.4,22.51,65.6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3.79,,,,,,,,maize,1.0,1.297
HHD116343,Southern,Muhanga,1550,2.12,5.82,0.154,0.041,0.397,0.81,585.8,17.69,54.5,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,,,24.89,,,,16.45,,cassava,0.602,6.15
HHD116344,Eastern,Nyagatare,1274,0.3,5.67,0.355,0.189,0.19,1.92,1110.7,23.72,97.9,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,,0.9,,,10.3,,6.67,,irish_potato,0.576,1.193
HHD116345,Southern,Huye,1700,1.6,5.43,0.314,0.005,0.02,0.69,758.0,18.83,60.4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,,,,,,,9.62,,sweet_potato,1.0,0.66
HHD116346,Southern,Nyaruguru,1537,0.01,5.92,0.603,0.172,0.337,1.71,845.5,27.29,66.0,1,1,0,0,0,1,2,0,0,0,1,0,1,0,0,,,,5.55,,28.37,,,tomato,0.836,4.736
HHD116347,Eastern,Bugesera,1180,0.55,7.52,0.36,0.144,0.177,2.97,958.3,18.91,76.0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,,,10.11,,,,,,cassava,1.0,1.636
HHD116348,Northern,Gicumbi,1870,0.34,5.92,0.41,0.143,0.435,2.46,762.6,24.52,71.1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,,,,,,15.46,,,tomato,1.0,2.665
HHD116349,Western,Nyamasheke,1316,1.06,5.87,0.617,0.005,0.449,1.91,1008.2,21.49,78.9,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,,,10.3,,,,11.32,,sweet_potato,0.524,2.835
HHD116350,Southern,Nyaruguru,1661,0.82,6.0,0.193,0.291,0.089,2.02,937.4,21.48,71.1,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,,,,5.79,,,,,rice,1.0,3.007
HHD116351,Southern,Nyamagabe,1490,1.28,6.14,0.441,0.063,0.825,2.66,750.7,22.3,84.0,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,,2.16,,,,,,,beans,1.0,2.497
HHD116352,Southern,Huye,1692,0.85,6.68,0.154,0.233,1.089,2.09,940.1,23.47,74.5,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,6.38,,,,,28.38,,,tomato,0.816,2.132
HHD116353,Kigali,Nyarugenge,1426,1.72,5.94,0.172,0.206,0.385,1.74,708.1,19.79,66.1,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,6.87,,14.46,,,,,,cassava,0.678,0.666
HHD116354,Southern,Kamonyi,1727,2.34,6.68,0.092,0.029,0.107,1.09,868.4,21.85,72.4,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,,,,5.57,,,,,rice,1.0,0.925
HHD116355,Northern,Gakenke,1973,1.44,6.66,0.237,0.135,0.121,2.34,924.9,21.73,62.7,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,,,17.5,,,,,,cassava,1.0,1.749
HHD116356,Northern,Gicumbi,1762,2.05,5.56,0.301,0.035,0.336,1.02,860.3,16.49,79.2,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,,,,,,37.66,,,tomato,1.0,0.937
HHD116357,Kigali,Nyarugenge,1391,2.89,6.64,0.503,0.117,0.154,3.9,948.8,23.79,69.6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,,,,,,33.03,,37.68,banana,0.533,1.338
HHD116358,Southern,Gisagara,1473,3.17,4.38,0.221,0.116,0.581,1.97,1138.9,22.39,72.3,1,0,0,0,0,1,3,0,0,0,1,0,1,1,0,,,,7.52,,24.39,15.77,,tomato,0.512,3.058
HHD116359,Northern,Gicumbi,1764,0.99,5.9,0.299,0.076,0.529,4.03,1288.3,20.53,62.3,0,1,0,0,0,0,3,1,0,0,1,0,0,1,0,4.21,,,7.95,,,15.2,,sweet_potato,0.556,3.549
HHD116360,Western,Nyabihu,1390,0.14,6.28,0.371,0.245,0.086,4.51,1018.7,20.92,65.8,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,,,,3.64,11.45,,,,irish_potato,0.759,2.724
HHD116361,Southern,Huye,1723,2.65,5.69,0.494,0.215,0.964,5.22,630.9,19.32,62.7,1,0,0,0,1,0,3,0,0,1,0,1,0,0,1,,,20.19,,30.27,,,39.34,banana,0.438,1.723
HHD116362,Kigali,Nyarugenge,1524,0.87,5.68,0.393,0.163,0.391,2.72,1038.7,19.66,71.1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,,,12.01,,13.95,,,,irish_potato,0.537,1.699
HHD116363,Southern,Huye,1700,0.11,5.76,0.496,0.082,0.513,1.21,740.4,25.66,84.4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,,,,,12.9,,,,irish_potato,1.0,2.247
HHD116364,Eastern,Bugesera,1084,3.2,4.61,0.421,0.227,0.484,2.59,1104.4,21.78,83.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,40.72,banana,1.0,1.144
HHD116365,Kigali,Nyarugenge,1406,2.62,7.14,0.39,0.189,0.688,3.51,756.0,21.2,80.2,0,0,1,0,0,1,2,0,1,1,0,0,0,0,0,,2.37,30.33,,,,,,cassava,0.928,1.093
HHD116366,Kigali,Kicukiro,1334,0.38,5.95,0.607,0.103,0.263,2.4,1036.9,21.9,65.9,1,0,1,0,0,0,3,1,0,1,0,0,0,1,0,3.66,,9.56,,,,10.95,,sweet_potato,0.453,0.26
HHD116367,Southern,Nyanza,1462,1.71,5.38,0.02,0.167,0.394,1.85,1091.3,24.4,90.2,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,,2.29,,,,,,,beans,1.0,0.813
HHD116368,Eastern,Bugesera,1102,1.28,6.11,0.404,0.089,0.31,2.64,767.8,22.1,75.9,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,,,12.46,,,,,,cassava,1.0,1.604
HHD116369,Southern,Muhanga,1607,1.09,5.67,0.377,0.199,0.152,1.38,945.9,20.77,74.6,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,4.83,,21.48,,,,,,cassava,0.816,0.629
HHD116370,Eastern,Bugesera,1217,2.72,5.11,0.398,0.044,0.551,2.04,1099.9,24.62,82.7,1,0,0,0,0,1,2,0,0,1,0,0,0,0,1,,,20.51,,,,,30.58,banana,0.599,3.489
HHD116371,Southern,Kamonyi,1649,0.69,5.51,0.402,0.2,0.403,2.51,900.7,22.29,69.0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,10.93,,sweet_potato,1.0,4.141
HHD116372,Southern,Huye,1576,0.74,5.82,0.073,0.185,0.074,2.42,770.3,20.06,68.2,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,,,,4.63,13.47,,,,irish_potato,0.744,2.304
HHD116373,Kigali,Nyarugenge,1509,0.76,6.22,0.02,0.146,0.5,1.25,452.5,19.72,84.4,1,1,0,1,1,1,2,0,0,0,1,0,1,0,0,,,,6.46,,21.87,,,tomato,0.772,1.821
HHD116374,Southern,Muhanga,1717,0.07,4.96,0.294,0.216,0.364,1.36,894.0,19.3,89.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,3.01,,,,,rice,1.0,3.226
HHD116375,Southern,Muhanga,1686,1.23,6.17,0.367,0.087,0.206,2.61,516.7,22.23,74.3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,8.23,,sweet_potato,1.0,2.773
HHD116376,Kigali,Kicukiro,1365,2.72,5.66,0.129,0.049,0.321,3.81,976.2,18.96,73.2,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,,,,,15.8,18.31,10.91,,tomato,0.407,0.549
HHD116377,Southern,Huye,1610,0.15,6.07,0.708,0.114,0.303,1.59,1144.7,20.58,70.5,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,2.87,,,,,,,13.56,banana,0.825,3.651
HHD116378,Southern,Muhanga,1551,1.24,6.31,0.518,0.164,0.229,4.51,1008.3,20.1,93.5,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,16.48,,sweet_potato,1.0,1.888
HHD116379,Southern,Huye,1611,0.64,6.3,0.155,0.077,0.219,4.45,1192.2,24.89,74.1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,,1.66,,,,,,20.18,banana,0.924,0.697
HHD116380,Western,Rubavu,1292,0.59,6.15,0.359,0.13,0.444,0.86,952.8,26.5,76.8,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,3.97,,,,,,,25.28,banana,0.864,2.292
HHD116381,Western,Nyabihu,1293,0.26,5.63,0.704,0.155,0.247,3.17,1015.3,17.92,74.7,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,4.83,,,,,,,,maize,1.0,0.493
HHD116382,Kigali,Nyarugenge,1346,1.16,5.63,0.322,0.056,0.184,3.06,1026.5,23.76,74.7,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,,,11.61,,,,,,cassava,1.0,2.661
HHD116383,Southern,Muhanga,1553,2.1,6.08,0.373,0.095,0.081,3.68,1204.7,24.62,80.7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,35.88,banana,1.0,0.943
HHD116384,Southern,Muhanga,1731,1.01,6.99,0.318,0.128,0.646,0.4,1296.9,26.48,78.2,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,6.13,,,,,,,19.63,banana,0.762,2.535
HHD116385,Southern,Nyanza,1462,1.22,5.45,0.184,0.077,0.476,2.44,1073.1,23.65,69.7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,4.21,,,,,19.65,,17.82,tomato,0.471,4.97
HHD116386,Western,Nyabihu,1389,1.33,6.18,0.184,0.203,0.185,1.83,936.6,16.8,68.5,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,,,,,22.49,,,,irish_potato,1.0,0.885
HHD116387,Southern,Muhanga,1738,3.39,6.34,0.416,0.113,0.186,3.41,1015.1,28.46,66.6,0,0,0,0,1,0,3,0,1,1,0,0,0,0,1,,1.9,21.16,,,,,28.05,banana,0.549,2.827
HHD116388,Eastern,Gatsibo,1112,2.83,5.44,0.272,0.158,0.268,3.35,915.8,17.36,80.7,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,,,,,14.55,,,,irish_potato,1.0,6.965
HHD116389,Western,Ngororero,1556,0.53,6.25,0.083,0.17,0.935,1.34,766.2,22.0,65.2,1,0,1,0,0,0,3,0,1,0,0,0,1,0,1,,1.97,,,,22.97,,23.67,banana,0.487,1.631
HHD116390,Western,Nyabihu,1388,0.24,5.97,0.292,0.245,0.175,1.34,890.3,23.43,70.3,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,,,,,10.12,,,,irish_potato,1.0,1.777
HHD116391,Southern,Ruhango,1608,0.82,5.38,0.413,0.106,0.518,1.3,1109.7,19.29,61.1,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,,2.16,,,,20.09,,,tomato,0.903,0.966
HHD116392,Northern,Gicumbi,1805,1.49,5.78,0.567,0.095,0.732,2.59,926.3,19.96,77.7,0,0,0,0,0,0,3,0,0,1,1,0,1,0,0,,,16.9,6.41,,27.37,,,tomato,0.54,0.925
HHD116393,Southern,Nyaruguru,1539,0.96,5.94,0.721,0.139,0.338,2.36,899.6,18.72,74.9,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,,1.77,,,,,,,beans,1.0,0.802
HHD116394,Southern,Nyaruguru,1719,0.92,5.57,0.245,0.128,0.338,2.91,873.7,20.33,79.8,1,1,0,0,0,0,3,1,0,0,1,0,0,0,1,4.52,,,6.03,,,,30.26,banana,0.741,1.498
HHD116395,Southern,Nyaruguru,1674,2.26,6.02,0.297,0.092,0.477,0.44,777.7,16.78,75.7,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,5.08,,,,23.23,,,,irish_potato,0.821,0.736
HHD116396,Southern,Muhanga,1678,0.98,5.37,0.448,0.241,0.426,1.65,1134.3,24.31,71.1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,,,14.12,,,,,,cassava,1.0,0.222
HHD116397,Southern,Gisagara,1477,1.18,5.96,0.278,0.293,0.121,2.66,1043.1,23.22,81.6,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,,,,,,16.68,12.41,,tomato,0.573,1.475
HHD116398,Kigali,Nyarugenge,1352,0.97,6.48,0.071,0.123,0.322,0.2,999.1,22.72,65.5,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,,,15.9,,,,,,cassava,1.0,1.095
HHD116399,Western,Ngororero,1573,2.34,6.43,0.379,0.039,0.335,2.69,984.7,20.83,93.0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,5.3,,15.33,,11.61,,,,cassava,0.475,2.077
HHD116400,Southern,Kamonyi,1718,0.04,6.21,0.442,0.005,0.351,2.43,1316.4,21.73,80.4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,1.85,,,,,,,beans,1.0,0.794
HHD116401,Southern,Ruhango,1664,3.27,5.05,0.02,0.148,0.577,3.12,971.7,21.32,72.9,0,1,0,1,0,0,2,1,0,0,0,0,0,0,1,8.02,,,,,,,42.05,banana,0.84,5.641
HHD116402,Western,Karongi,1403,1.59,6.71,0.442,0.155,0.02,2.8,736.8,22.87,73.9,1,0,0,0,0,0,3,1,0,1,0,0,0,0,1,5.56,,14.48,,,,,33.49,banana,0.626,0.728
HHD116403,Southern,Nyaruguru,1676,1.38,6.91,0.307,0.055,0.345,3.84,827.9,19.97,83.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,17.52,,,tomato,1.0,0.731
HHD116404,Southern,Kamonyi,1565,2.02,5.72,0.107,0.064,0.469,2.75,956.8,26.43,62.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,29.82,banana,1.0,0.636
HHD116405,Southern,Gisagara,1495,1.08,6.06,0.522,0.072,0.345,3.98,874.6,15.17,67.9,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,,,13.44,4.51,,,,,cassava,0.749,2.743
HHD116406,Southern,Huye,1600,0.28,5.18,0.272,0.048,0.126,0.3,960.3,20.55,76.6,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,0.99,,,,12.91,,,tomato,0.929,1.808
HHD116407,Northern,Musanze,1696,0.29,5.96,0.456,0.05,0.373,0.87,996.4,17.71,79.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,6.52,,,,,rice,1.0,0.159
HHD116408,Eastern,Rwamagana,1217,0.88,5.81,0.303,0.258,0.266,3.31,780.6,21.91,76.9,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,,,,,13.63,,,,irish_potato,1.0,0.627
HHD116409,Southern,Nyaruguru,1718,1.84,5.45,0.421,0.007,0.115,4.24,698.5,19.08,75.5,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,,,15.3,,14.34,,,,cassava,0.516,2.01
HHD116410,Kigali,Nyarugenge,1520,4.01,5.64,0.235,0.093,0.251,1.08,828.8,26.32,83.2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,,,,,,30.08,,,tomato,1.0,1.074
HHD116411,Southern,Nyaruguru,1633,1.78,6.19,0.286,0.153,0.227,2.95,702.5,23.34,85.8,1,1,1,0,0,1,2,1,0,0,0,1,0,0,0,7.3,,,,27.94,,,,irish_potato,0.793,3.648
HHD116412,Northern,Burera,1643,1.29,6.98,0.219,0.064,0.268,3.01,1306.0,28.35,88.0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,3.61,2.07,,,,,,18.32,banana,0.763,0.092
HHD116413,Northern,Rulindo,1777,1.56,6.48,0.564,0.081,0.256,1.89,543.3,22.64,87.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.8,,,,,,,,maize,1.0,1.914
HHD116414,Eastern,Bugesera,1233,0.85,6.29,0.062,0.13,0.497,2.84,1056.1,17.64,82.3,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,,,,,18.78,20.28,,,tomato,0.519,0.26
HHD116415,Kigali,Nyarugenge,1490,0.95,5.99,0.318,0.169,0.098,4.05,780.6,18.09,71.9,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,,,,,,,11.8,17.35,banana,0.595,0.986
HHD116416,Eastern,Bugesera,1234,0.95,5.83,0.279,0.095,0.308,2.04,883.2,23.82,81.6,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,,,12.6,,,13.02,,,tomato,0.508,4.222
HHD116417,Southern,Kamonyi,1716,0.87,6.21,0.589,0.005,0.147,2.86,832.3,21.04,74.5,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,,,,,,21.66,13.22,,tomato,0.621,2.81
HHD116418,Northern,Musanze,1687,1.37,5.35,0.134,0.189,0.746,2.58,1125.4,21.22,70.6,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,,,,,17.22,,,22.04,banana,0.561,1.168
HHD116419,Southern,Huye,1570,2.23,5.97,0.539,0.213,0.249,2.66,738.2,21.11,75.1,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,6.14,,,,18.97,,,,irish_potato,0.755,4.032
HHD116420,Northern,Musanze,1662,0.28,4.96,0.421,0.179,0.161,4.36,699.5,23.55,74.1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,,,,3.65,,,,,rice,1.0,4.603
HHD116421,Kigali,Nyarugenge,1523,2.02,4.7,0.027,0.264,0.467,1.12,688.2,25.12,80.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,21.85,,sweet_potato,1.0,1.672
HHD116422,Southern,Gisagara,1477,0.65,5.04,0.367,0.169,0.099,3.02,978.4,23.81,72.0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,,,,,,,14.94,,sweet_potato,1.0,3.054
HHD116423,Eastern,Gatsibo,1042,0.24,5.72,0.284,0.194,0.583,4.59,850.4,26.18,77.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,,,10.85,,,,,,cassava,1.0,2.528
HHD116424,Kigali,Nyarugenge,1436,0.49,5.57,0.622,0.145,0.418,0.2,584.2,24.84,74.4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,3.99,,,,,,,,maize,1.0,1.112
HHD116425,Kigali,Nyarugenge,1387,2.14,6.29,0.581,0.177,0.209,3.34,775.9,25.45,78.6,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,,2.78,,7.21,,,,,rice,0.722,8.391
HHD116426,Kigali,Nyarugenge,1455,0.34,6.47,0.25,0.298,0.159,2.27,1054.2,17.41,66.7,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,,,,,11.56,13.04,,,tomato,0.53,1.12
HHD116427,Southern,Nyaruguru,1691,0.44,6.43,0.172,0.034,0.317,2.34,851.3,20.11,55.4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,,,,,15.66,,,,irish_potato,1.0,3.311
HHD116428,Southern,Muhanga,1575,0.1,5.71,0.159,0.079,0.327,2.41,1038.4,22.92,65.7,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,12.61,,sweet_potato,1.0,1.675
HHD116429,Northern,Gakenke,1937,0.7,5.76,0.2,0.161,0.253,1.6,1111.2,22.57,74.7,0,0,0,0,1,1,2,0,0,0,1,1,0,0,0,,,,6.08,11.5,,,,irish_potato,0.654,0.709
HHD116430,Northern,Gicumbi,1813,0.86,5.46,0.362,0.005,0.489,0.2,683.1,21.32,81.1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,,19.04,,,,,,cassava,1.0,2.926
HHD116431,Eastern,Nyagatare,1279,0.31,6.22,0.622,0.126,0.468,2.35,860.1,22.74,82.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,18.55,banana,1.0,2.996
HHD116432,Kigali,Nyarugenge,1487,1.01,6.76,0.088,0.115,0.672,1.48,1289.4,19.01,77.6,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,,1.68,,,,25.23,,,tomato,0.938,3.078
